tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0005579,movie,The Juggernaut,The Juggernaut,0,1915,\N,62,Drama,6.1,37
tt0005680,movie,Marvelous Maciste,Maciste,0,1915,\N,67,Adventure,5.9,227
tt0005752,movie,The Misleading Lady,The Misleading Lady,0,1916,\N,50,"Comedy,Drama",7.6,21
tt0005793,movie,Mysteries of London,Mysteries of London,0,1915,\N,49,"Crime,Drama",5.5,18
tt0005922,movie,The Pretty Sister of Jose,The Pretty Sister of Jose,0,1915,\N,50,"Drama,Romance",7.6,20
tt0005938,movie,Queen Margaret,La reine Margot,0,1914,\N,40,"Drama,History",5.5,18
tt0005974,movie,The Romance of Elaine,The Romance of Elaine,0,1915,\N,\N,Adventure,7.0,30
tt0005979,movie,The Rosary,The Rosary,0,1915,\N,\N,"Drama,Mystery,Romance",7.0,21
tt0005984,movie,The Rug Maker's Daughter,The Rug Maker's Daughter,0,1915,\N,\N,Adventure,7.0,20
tt0005997,movie,The Sable Lorcha,The Sable Lorcha,0,1915,\N,50,"Adventure,Crime,Thriller",5.8,26
tt0006204,movie,The Valley of Decision,The Valley of Decision,0,1916,\N,50,"Drama,Romance",6.4,27
tt0006339,movie,The Adventures of Peg o' the Ring,The Adventures of Peg o' the Ring,0,1916,\N,300,"Action,Drama",4.8,49
tt0006433,movie,Black Friday,Black Friday,0,1916,\N,50,"Drama,History",7.4,14
tt0006441,movie,Blue Blood and Red,Blue Blood and Red,0,1916,\N,50,"Comedy,Western",3.2,18
tt0006489,movie,The Captive God,The Captive God,0,1916,\N,50,"Adventure,History",5.6,35
tt0006517,movie,Civilization,Civilization,0,1916,\N,85,"Drama,War",5.9,442
tt0006568,movie,A Daughter of the Gods,A Daughter of the Gods,0,1916,\N,180,Drama,6.7,72
tt0006600,movie,Mr. Doctor,Doktor úr,0,1916,\N,\N,\N,3.7,31
tt0006653,movie,The Fable of the Kid Who Shifted His Ideals to Golf and Finally Became a Baseball Fan and Took the Only Known Cure,The Fable of the Kid Who Shifted His Ideals to Golf and Finally Became a Baseball Fan and Took the Only Known Cure,0,1916,\N,\N,"Comedy,Sport",6.5,33
tt0006664,movie,The Fall of a Nation,The Fall of a Nation,0,1916,\N,75,Drama,5.3,109
tt0006706,movie,Fången på Karlstens fästning,Fången på Karlstens fästning,0,1916,\N,61,Drama,5.7,42
tt0006740,movie,The Great Problem,The Great Problem,0,1916,\N,50,"Drama,Romance",7.8,17
tt0006745,movie,Gretchen the Greenhorn,Gretchen the Greenhorn,0,1916,\N,58,"Crime,Drama,Romance",6.4,547
tt0006819,movie,Hoffmanns Erzählungen,Hoffmanns Erzählungen,0,1916,\N,67,Fantasy,6.0,70
tt0006836,movie,The Hunted Woman,The Hunted Woman,0,1916,\N,50,"Adventure,Drama",2.2,23
tt0006868,movie,The Iron Hand,The Iron Hand,0,1916,\N,50,Drama,6.0,15
tt0006893,movie,The Karthauzer,A karthausi,0,1916,\N,\N,Drama,4.4,33
tt0006932,movie,Little Mary Sunshine,Little Mary Sunshine,0,1916,\N,46,Drama,5.9,62
tt0007012,movie,Seven of Spades,Makkhetes,0,1916,\N,\N,\N,4.4,33
tt0007057,movie,The Merchant of Venice,The Merchant of Venice,0,1916,\N,85,Drama,6.0,10
tt0007074,movie,Miss George Washington,Miss George Washington,0,1916,\N,50,"Comedy,Romance",6.8,18
tt0007100,movie,The Mutiny of the Bounty,The Mutiny of the Bounty,0,1916,\N,55,"Drama,Thriller",7.7,36
tt0007111,movie,A Night of Horror,Nächte des Grauens,0,1917,\N,56,"Drama,Horror",6.2,28
tt0007141,movie,Officer 666,Officer 666,0,1916,\N,\N,Comedy,4.8,7
tt0007188,movie,The Place Beyond the Winds,The Place Beyond the Winds,0,1916,\N,50,Drama,5.9,49
tt0007202,movie,Poor Little Peppina,Poor Little Peppina,0,1916,\N,48,Drama,6.0,97
tt0007259,movie,La reina joven,La reina joven,0,1916,\N,49,\N,4.6,16
tt0007272,movie,Romeo and Juliet,Romeo and Juliet,0,1916,\N,80,"Drama,Romance",7.2,34
tt0007279,movie,Rübezahls Hochzeit,Rübezahls Hochzeit,0,1916,\N,83,Drama,5.3,45
tt0007313,movie,The Secret Kingdom,The Secret Kingdom,0,1917,\N,\N,"Adventure,Romance,Thriller",5.5,22
tt0007339,movie,The Shielding Shadow,The Shielding Shadow,0,1916,\N,\N,Action,7.0,21
tt0007355,movie,The Ships That Meet,Skepp som mötas,0,1916,\N,46,Drama,6.6,14
tt0007410,movie,Sunshine Dad,Sunshine Dad,0,1916,\N,50,Comedy,4.5,41
tt0007506,movie,The Vagabond Prince,The Vagabond Prince,0,1916,\N,45,Drama,5.9,21
tt0007522,movie,Vingarne,Vingarne,0,1916,\N,69,Drama,5.7,212
tt0007558,movie,Where Are My Children?,Where Are My Children?,0,1916,\N,62,Drama,6.2,901
tt0007633,movie,The American Consul,The American Consul,0,1917,\N,50,Drama,5.8,13
tt0007753,movie,The Bronze Bride,The Bronze Bride,0,1917,\N,50,"Drama,Western",5.0,15
tt0007755,movie,Bucking Broadway,Bucking Broadway,0,1917,\N,53,Western,6.1,725
tt0007774,movie,Captain of the Gray Horse Troop,Captain of the Gray Horse Troop,0,1917,\N,50,Western,5.9,19
tt0007794,movie,Um Chá nas Nuvens,Um Chá nas Nuvens,0,1917,\N,\N,Comedy,5.5,17
tt0007824,movie,The Countess Charming,The Countess Charming,0,1917,\N,50,Comedy,6.6,12
tt0007909,movie,The Eyes of the World,The Eyes of the World,0,1917,\N,100,"Crime,Drama",4.3,14
tt0007910,movie,The Colonel,Az ezredes,0,1918,\N,50,Drama,6.5,60
tt0007927,movie,The Fall of the Romanoffs,The Fall of the Romanoffs,0,1917,\N,80,"Biography,Drama,History",7.4,29
tt0007932,movie,The Fatal Ring,The Fatal Ring,0,1917,\N,400,"Action,Drama",6.7,21
tt0007935,movie,Fear Not,Fear Not,0,1917,\N,50,"Crime,Drama",7.4,14
tt0007942,movie,The Fighting Gringo,The Fighting Gringo,0,1917,\N,50,Western,5.2,52
tt0007959,movie,The Flower of Doom,The Flower of Doom,0,1917,\N,50,Drama,6.8,15
tt0007975,movie,Freckles,Freckles,0,1917,\N,50,Drama,7.7,15
tt0008000,movie,Gift o' Gab,Gift o' Gab,0,1917,\N,65,Comedy,3.6,16
tt0008022,movie,Golden Rule Kate,Golden Rule Kate,0,1917,\N,50,Western,4.8,28
tt0008042,movie,Hands Up!,Hands Up!,0,1917,\N,50,Western,5.3,15
tt0008045,movie,Happiness of Three Women,Happiness of Three Women,0,1917,\N,50,Drama,6.6,13
tt0008071,movie,Her Country's Call,Her Country's Call,0,1917,\N,\N,"Biography,Drama",5.7,14
tt0008091,movie,The Hidden Spring,The Hidden Spring,0,1917,\N,50,"Adventure,Romance",6.5,23
tt0008137,movie,The Inner Shrine,The Inner Shrine,0,1917,\N,50,Drama,6.6,14
tt0008150,movie,Joan the Woman,Joan the Woman,0,1916,\N,138,"Adventure,Drama,History",6.4,687
tt0008159,movie,Kidnapped,Kidnapped,0,1917,\N,64,"Adventure,Drama",6.7,64
tt0008161,movie,Korol Parizha,Korol Parizha,0,1917,\N,63,Drama,6.1,84
tt0008164,movie,The Charlatan,A kuruzsló,0,1917,\N,\N,"Crime,Drama",3.5,30
tt0008177,movie,Küzdelem a Létért,Küzdelem a Létért,0,1918,\N,72,Drama,6.3,20
tt0008201,movie,The Lone Wolf,The Lone Wolf,0,1917,\N,60,"Crime,Drama",7.2,20
tt0008287,movie,Men of the Desert,Men of the Desert,0,1917,\N,65,Western,4.0,17
tt0008290,movie,The Midnight Man,The Midnight Man,0,1917,\N,50,"Crime,Drama",7.8,13
tt0008305,movie,Les Misérables,Les Misérables,0,1917,\N,100,Drama,6.8,41
tt0008321,movie,The Moth,The Moth,0,1917,\N,72,Drama,8.0,15
tt0008392,movie,Open Places,Open Places,0,1917,\N,65,Western,4.3,16
tt0008402,movie,Paddy O'Hara,Paddy O'Hara,0,1917,\N,50,"Adventure,War",5.0,20
tt0008510,movie,Revelj,Revelj,0,1917,\N,73,Drama,5.4,17
tt0008561,movie,Seven Keys to Baldpate,Seven Keys to Baldpate,0,1917,\N,65,"Comedy,Mystery,Thriller",6.1,133
tt0008571,movie,The Silent Man,The Silent Man,0,1917,\N,61,Western,6.6,121
tt0008587,movie,Skinner's Dress Suit,Skinner's Dress Suit,0,1917,\N,50,Comedy,6.4,13
tt0008677,movie,The Tiger Woman,The Tiger Woman,0,1917,\N,60,Drama,5.6,18
tt0008686,movie,Tom Jones,Tom Jones,0,1917,\N,70,Comedy,8.8,12
tt0008745,movie,The Red Samson,A vörös Sámson,0,1917,\N,\N,Drama,3.7,32
tt0008816,movie,Adam Bede,Adam Bede,0,1918,\N,60,"Crime,Drama",6.6,13
tt0008840,movie,El apache de Londres,El apache de Londres,0,1918,\N,\N,Animation,5.6,14
tt0008851,movie,At the Mercy of Men,At the Mercy of Men,0,1918,\N,50,"Drama,Thriller",7.0,18
tt0008865,movie,Beans,Beans,0,1918,\N,50,"Comedy,Thriller",6.7,24
tt0008892,movie,'Blue Blazes' Rawden,'Blue Blazes' Rawden,0,1918,\N,65,"Drama,Western",5.9,131
tt0008966,movie,The Claw,The Claw,0,1918,\N,50,Drama,4.7,15
tt0008990,movie,The Danger Game,The Danger Game,0,1918,\N,50,Comedy,6.9,28
tt0009001,movie,The Deciding Kiss,The Deciding Kiss,0,1918,\N,50,Drama,7.0,16
tt0009014,movie,The Tenth Symphony,La dixième symphonie,0,1918,\N,80,Drama,6.0,253
tt0009017,movie,Dodging a Million,Dodging a Million,0,1918,\N,60,Comedy,7.8,40
tt0009117,movie,"Go West, Young Man","Go West, Young Man",0,1918,\N,50,"Comedy,Drama,Western",6.6,12
tt0009136,movie,The Gulf Between,The Gulf Between,0,1917,\N,70,"Comedy,Drama",6.2,31
tt0009137,movie,The Gun Woman,The Gun Woman,0,1918,\N,50,Western,7.0,36
tt0009224,movie,In Pursuit of Polly,In Pursuit of Polly,0,1918,\N,50,"Comedy,Drama",7.7,17
tt0009252,movie,"The Kaiser, the Beast of Berlin","The Kaiser, the Beast of Berlin",0,1918,\N,70,"Drama,History,War",6.5,45
tt0009273,movie,The Lady of the Dugout,The Lady of the Dugout,0,1918,\N,60,"Drama,Western",6.4,169
tt0009322,movie,"Lu, the Coquette","Lu, a kokott",0,1919,\N,\N,Drama,4.0,30
tt0009423,movie,The Naulahka,The Naulahka,0,1918,\N,60,Adventure,6.5,18
tt0009445,movie,On the Quiet,On the Quiet,0,1918,\N,50,"Comedy,Romance",8.5,36
tt0009455,movie,The Ordeal of Rosetta,The Ordeal of Rosetta,0,1918,\N,50,"Drama,Romance",6.6,15
tt0009481,movie,Pay Day,Pay Day,0,1918,\N,\N,"Comedy,Drama",6.5,14
tt0009560,movie,The Romance of Tarzan,The Romance of Tarzan,0,1918,\N,70,"Action,Adventure",6.4,63
tt0009601,movie,The She Devil,The She Devil,0,1918,\N,60,"Drama,Romance",7.6,21
tt0009605,movie,Sheba,Sheba,0,1919,\N,\N,Drama,7.5,9
tt0009622,movie,A skorpió I.,A skorpió I.,0,1918,\N,\N,Drama,4.3,30
tt0009630,movie,Society for Sale,Society for Sale,0,1918,\N,60,Drama,6.8,29
tt0009712,movie,Too Fat to Fight,Too Fat to Fight,0,1918,\N,60,Comedy,5.0,12
tt0009796,movie,The Whispering Chorus,The Whispering Chorus,0,1918,\N,86,Drama,6.6,377
tt0009832,movie,The Woman and the Law,The Woman and the Law,0,1918,\N,50,Drama,4.5,16
tt0009843,movie,You Can't Believe Everything,You Can't Believe Everything,0,1918,\N,50,Drama,6.7,19
tt0009866,movie,All Wrong,All Wrong,0,1919,\N,50,Comedy,6.0,15
tt0009919,movie,The Beloved Cheater,The Pleasant Devil,0,1919,\N,50,Comedy,5.8,12
tt0009968,movie,Broken Blossoms,Broken Blossoms or The Yellow Man and the Girl,0,1919,\N,90,"Drama,Romance",7.2,11416
tt0010008,movie,The Cinema Murder,The Cinema Murder,0,1919,\N,60,Drama,8.1,51
tt0010010,movie,The Climbers,The Climbers,0,1919,\N,50,"Comedy,Drama",7.1,20
tt0010049,movie,The Dark Star,The Dark Star,0,1919,\N,60,Adventure,7.9,51
tt0010060,movie,The Delicious Little Devil,The Delicious Little Devil,0,1919,\N,75,"Comedy,Drama",6.2,930
